period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2019-01-01,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,79.521,gigawatthours,Arizona
2019-01-02,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,85.561,gigawatthours,Arizona
2019-01-03,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,85.162,gigawatthours,Arizona
2019-01-04,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,79.387,gigawatthours,Arizona
2019-01-05,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,75.492,gigawatthours,Arizona
2019-01-06,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,74.446,gigawatthours,Arizona
2019-01-07,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,73.819,gigawatthours,Arizona
2019-01-08,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,71.675,gigawatthours,Arizona
2019-01-09,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,70.32,gigawatthours,Arizona
2019-01-10,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69.411,gigawatthours,Arizona
2019-01-11,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69.73,gigawatthours,Arizona
2019-01-12,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,68.193,gigawatthours,Arizona
2019-01-13,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67.963,gigawatthours,Arizona
2019-01-14,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69.92,gigawatthours,Arizona
2019-01-15,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,72.049,gigawatthours,Arizona
2019-01-16,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67.868,gigawatthours,Arizona
2019-01-17,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69.324,gigawatthours,Arizona
2019-01-18,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,66.181,gigawatthours,Arizona
2019-01-19,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,65.281,gigawatthours,Arizona
2019-01-20,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,64.734,gigawatthours,Arizona
2019-01-21,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,68.461,gigawatthours,Arizona
2019-01-22,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,71.764,gigawatthours,Arizona
2019-01-23,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,73.093,gigawatthours,Arizona
2019-01-24,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,72.932,gigawatthours,Arizona
2019-01-25,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,70.645,gigawatthours,Arizona
2019-01-26,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67.191,gigawatthours,Arizona
2019-01-27,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,65.362,gigawatthours,Arizona
2019-01-28,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67.903,gigawatthours,Arizona
2019-01-29,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67.489,gigawatthours,Arizona
2019-01-30,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,66.477,gigawatthours,Arizona
2019-01-31,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,66.476,gigawatthours,Arizona
2019-02-01,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,64.159,gigawatthours,Arizona
2019-02-02,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,64.059,gigawatthours,Arizona
2019-02-03,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,63.337,gigawatthours,Arizona
2019-02-04,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67.196,gigawatthours,Arizona
2019-02-05,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,68.39,gigawatthours,Arizona
2019-02-06,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,71.838,gigawatthours,Arizona
2019-02-07,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,77.761,gigawatthours,Arizona
2019-02-08,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,74.73,gigawatthours,Arizona
2019-02-09,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,74.121,gigawatthours,Arizona
2019-02-10,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,71.265,gigawatthours,Arizona
2019-02-11,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,73.121,gigawatthours,Arizona
2019-02-12,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,74.05,gigawatthours,Arizona
2019-02-13,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,70.956,gigawatthours,Arizona
2019-02-14,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,72.333,gigawatthours,Arizona
2019-02-15,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,65.869,gigawatthours,Arizona
2019-02-16,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,65.781,gigawatthours,Arizona
2019-02-17,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69.937,gigawatthours,Arizona
2019-02-18,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,75.769,gigawatthours,Arizona
2019-02-19,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,79.424,gigawatthours,Arizona
2019-02-20,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,80.188,gigawatthours,Arizona
2019-02-21,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,86.28,gigawatthours,Arizona
2019-02-22,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,82.215,gigawatthours,Arizona
2019-02-23,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,77.17,gigawatthours,Arizona
2019-02-24,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,73.141,gigawatthours,Arizona
2019-02-25,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,73.082,gigawatthours,Arizona
2019-02-26,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69.854,gigawatthours,Arizona
2019-02-27,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,64.999,gigawatthours,Arizona
2019-02-28,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,64.577,gigawatthours,Arizona
2019-03-01,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,63.326,gigawatthours,Arizona
2019-03-02,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,61.69,gigawatthours,Arizona
2019-03-03,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,59.017,gigawatthours,Arizona
2019-03-04,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,62.391,gigawatthours,Arizona
2019-03-05,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,62.782,gigawatthours,Arizona
2019-03-06,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,63.427,gigawatthours,Arizona
2019-03-07,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,63.313,gigawatthours,Arizona
2019-03-08,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,62.682,gigawatthours,Arizona
2019-03-09,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,61.893,gigawatthours,Arizona
2019-03-10,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,58.102,gigawatthours,Arizona
